"","S1","S2","S3","S4","S5","D1","D2","D3","D4","D5","D6","D7","D8"
"Arabian Gulf Lifestage",1824299,605414,102,10194906,6907238,186,76,3635,650,33,0,0,62
"Arabian Gulf Taxanomic",1160447,478630,2547,5851544,3918828,17044,32168,72376,73463,1906,810,1327,18296
"BSQ Lifestage",73451,9912,285,88406,194614,2340,704,3393,3296,243,162,202,604
"BSQ Taxanomic",95809,23596,14808,114288,164870,10494,9468,44871,54599,8700,2532,4704,27206
"CSM Lifestage",66877,11158,384,82908,166350,2986,852,4744,4705,302,162,228,890
"CSM Taxanomic",95217,28734,18903,121398,149472,11100,10572,43693,47463,10063,2556,4795,22674
"EPB Lifestage",109177,16009,390,141142,357362,3106,884,4457,5080,297,162,221,652
"EPB Taxanomic",149410,45748,22824,215814,314144,14482,12644,54675,63455,11298,2814,4912,23024
"Quickpond Lifestage",30090,15768,3453,35636,80266,3896,6320,6153,12347,2243,882,1408,2612
"Quickpond Taxanomic",17268,10145,4497,22036,30538,3452,4674,5644,7972,2775,990,1612,2588
